"Image","AN","CA","DI","FE","HA","NE","SA","SCRAM"
"01f_an_c.bmp",1,0,0,0,0,0,0,0
"01F_AN_O.bmp",1,0,0,0,0,0,0,0
"01F_CA_C.bmp",0,1,0,0,0,0,0,0
"01F_CA_O.bmp",0,1,0,0,0,0,0,0
"01F_DI_C.bmp",0,0,1,0,0,0,0,0
"01F_DI_O.bmp",0,0,1,0,0,0,0,0
"01F_DI_O.bmp",0,0,1,0,0,0,0,0
"01F_FE_C.bmp",0,0,0,1,0,0,0,0
"01F_FE_O.bmp",0,0,0,1,0,0,0,0
"01F_HA_C.bmp",0,0,0,0,1,0,0,0
"01F_HA_O.bmp",0,0,0,0,1,0,0,0
"01F_NE_C.bmp",0,0,0,0,0,1,0,0
"01F_NE_O.bmp",0,0,0,0,0,1,0,0
"01F_SA_C.bmp",0,0,0,0,0,0,1,0
"01F_SA_O.bmp",0,0,0,0,0,0,1,0
"02f_an_c.bmp",1,0,0,0,0,0,0,0
"02f_an_o.bmp",1,0,0,0,0,0,0,0
"02F_CA_C.bmp",0,1,0,0,0,0,0,0
"02f_ca_o.bmp",0,1,0,0,0,0,0,0
"02f_di_c.bmp",0,0,1,0,0,0,0,0
"02f_di_o.bmp",0,0,1,0,0,0,0,0
"02F_FE_C.bmp",0,0,0,1,0,0,0,0
"02F_FE_O.bmp",0,0,0,1,0,0,0,0
"02F_HA_O.bmp",0,0,0,0,1,0,0,0
"02F_NE_C.bmp",0,0,0,0,0,1,0,0
"02F_NE_O.bmp",0,0,0,0,0,1,0,0
"02F_SA_C.bmp",0,0,0,0,0,0,1,0
"02F_SA_O.bmp",0,0,0,0,0,0,1,0
"03F_AN_O.bmp",1,0,0,0,0,0,0,0
"03F_CA_C.bmp",0,1,0,0,0,0,0,0
"03F_CA_O.bmp",0,1,0,0,0,0,0,0
"03F_DI_C.bmp",0,0,1,0,0,0,0,0
"03F_DI_C.bmp",0,0,1,0,0,0,0,0
"03F_DI_O.bmp",0,0,1,0,0,0,0,0
"03F_FE_O.bmp",0,0,0,1,0,0,0,0
"03F_HA_C.bmp",0,0,0,0,1,0,0,0
"03F_HA_O.bmp",0,0,0,0,1,0,0,0
"03F_HA_O.bmp",0,0,0,0,1,0,0,0
"03F_NE_C.bmp",0,0,0,0,0,1,0,0
"03F_NE_O.bmp",0,0,0,0,0,1,0,0
"03F_SA_O.bmp",0,0,0,0,0,0,1,0
"05F_AN_C.bmp",1,0,0,0,0,0,0,0
"05F_CA_C.bmp",0,1,0,0,0,0,0,0
"05F_CA_O.bmp",0,1,0,0,0,0,0,0
"05F_DI_C.bmp",0,0,1,0,0,0,0,0
"05F_DI_O.bmp",0,0,1,0,0,0,0,0
"05F_FE_C.bmp",0,0,0,1,0,0,0,0
"05F_FE_O.bmp",0,0,0,1,0,0,0,0
"05F_HA_C.bmp",0,0,0,0,1,0,0,0
"05F_HA_O.bmp",0,0,0,0,1,0,0,0
"05F_NE_C.bmp",0,0,0,0,0,1,0,0
"05F_SA_C.bmp",0,0,0,0,0,0,1,0
"05F_SA_O.bmp",0,0,0,0,0,0,1,0
"06F_AN_C.bmp",1,0,0,0,0,0,0,0
"06F_AN_O.bmp",1,0,0,0,0,0,0,0
"06F_CA_C.bmp",0,1,0,0,0,0,0,0
"06F_DI_C.bmp",0,0,1,0,0,0,0,0
"06F_FE_C.bmp",0,0,0,1,0,0,0,0
"06F_FE_O.bmp",0,0,0,1,0,0,0,0
"06F_HA_C.bmp",0,0,0,0,1,0,0,0
"06F_HA_O.bmp",0,0,0,0,1,0,0,0
"06F_NE_C.bmp",0,0,0,0,0,1,0,0
"06F_NE_O.bmp",0,0,0,0,0,1,0,0
"06F_SA_C.bmp",0,0,0,0,0,0,1,0
"06F_SA_O.bmp",0,0,0,0,0,0,1,0
"07F_AN_C.bmp",1,0,0,0,0,0,0,0
"07F_AN_O.BMP",1,0,0,0,0,0,0,0
"07F_CA_C.BMP",0,1,0,0,0,0,0,0
"07F_CA_O.BMP",0,1,0,0,0,0,0,0
"07F_DI_O.BMP",0,0,1,0,0,0,0,0
"07F_FE_O.BMP",0,0,0,1,0,0,0,0
"07F_HA_C.BMP",0,0,0,0,1,0,0,0
"07F_HA_O.BMP",0,0,0,0,1,0,0,0
"07F_HA_O.BMP",0,0,0,0,1,0,0,0
"07F_NE_C.BMP",0,0,0,0,0,1,0,0
"07F_NE_O.BMP",0,0,0,0,0,1,0,0
"07F_SA_C.BMP",0,0,0,0,0,0,1,0
"07F_SA_O.BMP",0,0,0,0,0,0,1,0
"08F_AN_C.bmp",1,0,0,0,0,0,0,0
"08F_AN_O.BMP",1,0,0,0,0,0,0,0
"08F_CA_C.BMP",0,1,0,0,0,0,0,0
"08F_FE_C.BMP",0,0,0,1,0,0,0,0
"08F_FE_O.BMP",0,0,0,1,0,0,0,0
"08F_HA_C.BMP",0,0,0,0,1,0,0,0
"08F_NE_O.BMP",0,0,0,0,0,1,0,0
"08F_SA_C.BMP",0,0,0,0,0,0,1,0
"08F_SA_O.BMP",0,0,0,0,0,0,1,0
"09F_AN_C.bmp",1,0,0,0,0,0,0,0
"09F_AN_O.BMP",1,0,0,0,0,0,0,0
"09F_CA_C.BMP",0,1,0,0,0,0,0,0
"09F_CA_O.BMP",0,1,0,0,0,0,0,0
"09F_DI_C.BMP",0,0,1,0,0,0,0,0
"09F_DI_O.BMP",0,0,1,0,0,0,0,0
"09F_FE_C.BMP",0,0,0,1,0,0,0,0
"09F_FE_O.BMP",0,0,0,1,0,0,0,0
"09F_HA_C.BMP",0,0,0,0,1,0,0,0
"09F_HA_O.BMP",0,0,0,0,1,0,0,0
"09F_NE_C.BMP",0,0,0,0,0,1,0,0
"09F_NE_O.BMP",0,0,0,0,0,1,0,0
"09F_SA_C.BMP",0,0,0,0,0,0,1,0
"09F_SA_O.BMP",0,0,0,0,0,0,1,0
"10F_AN_C.BMP",1,0,0,0,0,0,0,0
"10F_AN_O.BMP",1,0,0,0,0,0,0,0
"10F_DI_C.BMP",0,0,1,0,0,0,0,0
"10F_DI_O.BMP",0,0,1,0,0,0,0,0
"10F_DI_O.BMP",0,0,1,0,0,0,0,0
"10F_FE_C.BMP",0,0,0,1,0,0,0,0
"10F_FE_O.BMP",0,0,0,1,0,0,0,0
"10F_HA_C.BMP",0,0,0,0,1,0,0,0
"10F_HA_O.BMP",0,0,0,0,1,0,0,0
"10F_NE_C.BMP",0,0,0,0,0,1,0,0
"10F_NE_O.BMP",0,0,0,0,0,1,0,0
"10F_SA_C.BMP",0,0,0,0,0,0,1,0
"20M_AN_C.bmp",1,0,0,0,0,0,0,0
"20M_AN_O.BMP",1,0,0,0,0,0,0,0
"20M_CA_C.BMP",0,1,0,0,0,0,0,0
"20M_CA_O.BMP",0,1,0,0,0,0,0,0
"20M_DI_O.BMP",0,0,1,0,0,0,0,0
"20M_FE_C.BMP",0,0,0,1,0,0,0,0
"20M_FE_O.BMP",0,0,0,1,0,0,0,0
"20M_HA_C.BMP",0,0,0,0,1,0,0,0
"20M_HA_O.BMP",0,0,0,0,1,0,0,0
"20M_NE_C.BMP",0,0,0,0,0,1,0,0
"20M_NE_O.BMP",0,0,0,0,0,1,0,0
"20M_SA_C.BMP",0,0,0,0,0,0,1,0
"20M_SA_O.BMP",0,0,0,0,0,0,1,0
"21M_AN_C.bmp",1,0,0,0,0,0,0,0
"21M_AN_O.BMP",1,0,0,0,0,0,0,0
"21M_CA_C.BMP",0,1,0,0,0,0,0,0
"21M_CA_O.BMP",0,1,0,0,0,0,0,0
"21M_DI_C.BMP",0,0,1,0,0,0,0,0
"21M_DI_O.BMP",0,0,1,0,0,0,0,0
"21M_DI_O.BMP",0,0,1,0,0,0,0,0
"21M_FE_C.BMP",0,0,0,1,0,0,0,0
"21M_FE_O.BMP",0,0,0,1,0,0,0,0
"21M_HA_C.BMP",0,0,0,0,1,0,0,0
"21M_HA_O.BMP",0,0,0,0,1,0,0,0
"21M_NE_C.BMP",0,0,0,0,0,1,0,0
"21M_NE_O.BMP",0,0,0,0,0,1,0,0
"21M_SA_C.BMP",0,0,0,0,0,0,1,0
"21M_SA_O.BMP",0,0,0,0,0,0,1,0
"22M_AN_O.BMP",1,0,0,0,0,0,0,0
"22M_CA_C.BMP",0,1,0,0,0,0,0,0
"22M_CA_O.BMP",0,1,0,0,0,0,0,0
"22M_DI_C.BMP",0,0,1,0,0,0,0,0
"22M_DI_O.BMP",0,0,1,0,0,0,0,0
"22M_FE_C.BMP",0,0,0,1,0,0,0,0
"22M_FE_O.BMP",0,0,0,1,0,0,0,0
"22M_HA_C.BMP",0,0,0,0,1,0,0,0
"22M_HA_C.BMP",0,0,0,0,1,0,0,0
"22M_HA_O.BMP",0,0,0,0,1,0,0,0
"22M_NE_C.BMP",0,0,0,0,0,1,0,0
"22M_NE_O.BMP",0,0,0,0,0,1,0,0
"22M_SA_C.BMP",0,0,0,0,0,0,1,0
"22M_SA_O.BMP",0,0,0,0,0,0,1,0
"23M_AN_C.bmp",1,0,0,0,0,0,0,0
"23M_CA_C.BMP",0,1,0,0,0,0,0,0
"23M_DI_C.BMP",0,0,1,0,0,0,0,0
"23M_DI_O.BMP",0,0,1,0,0,0,0,0
"23M_DI_O.BMP",0,0,1,0,0,0,0,0
"23M_FE_C.BMP",0,0,0,1,0,0,0,0
"23M_FE_O.BMP",0,0,0,1,0,0,0,0
"23M_HA_C.BMP",0,0,0,0,1,0,0,0
"23M_HA_O.BMP",0,0,0,0,1,0,0,0
"23M_HA_O.BMP",0,0,0,0,1,0,0,0
"23M_NE_C.BMP",0,0,0,0,0,1,0,0
"23M_NE_O.BMP",0,0,0,0,0,1,0,0
"23M_SA_C.BMP",0,0,0,0,0,0,1,0
"23M_SA_O.BMP",0,0,0,0,0,0,1,0
"24M_AN_C.bmp",1,0,0,0,0,0,0,0
"24M_AN_O.BMP",1,0,0,0,0,0,0,0
"24M_CA_C.BMP",0,1,0,0,0,0,0,0
"24M_CA_O.BMP",0,1,0,0,0,0,0,0
"24M_DI_C.BMP",0,0,1,0,0,0,0,0
"24M_DI_O.BMP",0,0,1,0,0,0,0,0
"24M_FE_O.BMP",0,0,0,1,0,0,0,0
"24M_HA_C.BMP",0,0,0,0,1,0,0,0
"24M_HA_O.BMP",0,0,0,0,1,0,0,0
"24M_NE_C.BMP",0,0,0,0,0,1,0,0
"24M_NE_O.BMP",0,0,0,0,0,1,0,0
"24M_SA_C.BMP",0,0,0,0,0,0,1,0
"24M_SA_O.BMP",0,0,0,0,0,0,1,0
"25M_AN_C.bmp",1,0,0,0,0,0,0,0
"25M_AN_O.BMP",1,0,0,0,0,0,0,0
"25M_CA_C.BMP",0,1,0,0,0,0,0,0
"25M_CA_O.BMP",0,1,0,0,0,0,0,0
"25M_FE_O.BMP",0,0,0,1,0,0,0,0
"25M_HA_C.BMP",0,0,0,0,1,0,0,0
"25M_HA_O.BMP",0,0,0,0,1,0,0,0
"25M_NE_C.BMP",0,0,0,0,0,1,0,0
"25M_SA_C.bmp",0,0,0,0,0,0,1,0
"25M_SA_O.BMP",0,0,0,0,0,0,1,0
"26M_AN_C.bmp",1,0,0,0,0,0,0,0
"26M_AN_O.BMP",1,0,0,0,0,0,0,0
"26M_CA_C.BMP",0,1,0,0,0,0,0,0
"26M_CA_O.BMP",0,1,0,0,0,0,0,0
"26M_DI_C.BMP",0,0,1,0,0,0,0,0
"26M_DI_O.BMP",0,0,1,0,0,0,0,0
"26M_FE_C.BMP",0,0,0,1,0,0,0,0
"26M_FE_O.BMP",0,0,0,1,0,0,0,0
"26M_HA_C.BMP",0,0,0,0,1,0,0,0
"26M_HA_O.BMP",0,0,0,0,1,0,0,0
"26M_NE_C.BMP",0,0,0,0,0,1,0,0
"26M_NE_O.BMP",0,0,0,0,0,1,0,0
"26M_SA_C.BMP",0,0,0,0,0,0,1,0
"26M_SA_O.BMP",0,0,0,0,0,0,1,0
"27M_AN_C.bmp",1,0,0,0,0,0,0,0
"27M_AN_O.BMP",1,0,0,0,0,0,0,0
"27M_CA_O.BMP",0,1,0,0,0,0,0,0
"27M_DI_C.BMP",0,0,1,0,0,0,0,0
"27M_DI_O.BMP",0,0,1,0,0,0,0,0
"27M_FE_C.BMP",0,0,0,1,0,0,0,0
"27M_FE_O.BMP",0,0,0,1,0,0,0,0
"27M_HA_O.BMP",0,0,0,0,1,0,0,0
"27M_NE_C.BMP",0,0,0,0,0,1,0,0
"27M_NE_O.BMP",0,0,0,0,0,1,0,0
"27M_SA_C.BMP",0,0,0,0,0,0,1,0
"27M_SA_O.BMP",0,0,0,0,0,0,1,0
"28M_AN_C.bmp",1,0,0,0,0,0,0,0
"28M_AN_O.BMP",1,0,0,0,0,0,0,0
"28M_CA_C.BMP",0,1,0,0,0,0,0,0
"28M_DI_C.BMP",0,0,1,0,0,0,0,0
"28M_DI_O.BMP",0,0,1,0,0,0,0,0
"28M_FE_C.BMP",0,0,0,1,0,0,0,0
"28M_FE_O.BMP",0,0,0,1,0,0,0,0
"28M_HA_C.BMP",0,0,0,0,1,0,0,0
"28M_NE_C.BMP",0,0,0,0,0,1,0,0
"28M_NE_O.BMP",0,0,0,0,0,1,0,0
"28M_SA_C.BMP",0,0,0,0,0,0,1,0
"28M_SA_O.BMP",0,0,0,0,0,0,1,0
"29M_AN_C.bmp",1,0,0,0,0,0,0,0
"29M_AN_O.BMP",1,0,0,0,0,0,0,0
"29M_CA_O.BMP",0,1,0,0,0,0,0,0
"29M_DI_C.BMP",0,0,1,0,0,0,0,0
"29M_DI_O.BMP",0,0,1,0,0,0,0,0
"29M_FE_C.BMP",0,0,0,1,0,0,0,0
"29M_FE_O.BMP",0,0,0,1,0,0,0,0
"29M_HA_C.BMP",0,0,0,0,1,0,0,0
"29M_HA_C.BMP",0,0,0,0,1,0,0,0
"29M_HA_O.BMP",0,0,0,0,1,0,0,0
"29M_HA_O.BMP",0,0,0,0,1,0,0,0
"29M_NE_O.BMP",0,0,0,0,0,1,0,0
"29M_SA_C.BMP",0,0,0,0,0,0,1,0
"29M_SA_O.BMP",0,0,0,0,0,0,1,0
"30M_AN_C.bmp",1,0,0,0,0,0,0,0
"30M_AN_O.BMP",1,0,0,0,0,0,0,0
"30M_CA_C.BMP",0,1,0,0,0,0,0,0
"30M_CA_O.BMP",0,1,0,0,0,0,0,0
"30M_DI_O.BMP",0,0,1,0,0,0,0,0
"30M_DI_O.BMP",0,0,1,0,0,0,0,0
"30M_FE_C.BMP",0,0,0,1,0,0,0,0
"30M_FE_O.BMP",0,0,0,1,0,0,0,0
"30M_HA_C.BMP",0,0,0,0,1,0,0,0
"30M_HA_O.BMP",0,0,0,0,1,0,0,0
"30M_HA_O.BMP",0,0,0,0,1,0,0,0
"30M_NE_C.BMP",0,0,0,0,0,1,0,0
"30M_NE_O.BMP",0,0,0,0,0,1,0,0
"30M_SA_C.BMP",0,0,0,0,0,0,1,0
"30M_SA_O.BMP",0,0,0,0,0,0,1,0
"31M_AN_C.bmp",1,0,0,0,0,0,0,0
"31M_AN_O.BMP",1,0,0,0,0,0,0,0
"31M_CA_C.BMP",0,1,0,0,0,0,0,0
"31M_DI_C.BMP",0,0,1,0,0,0,0,0
"31M_DI_O.BMP",0,0,1,0,0,0,0,0
"31M_DI_O.BMP",0,0,1,0,0,0,0,0
"31M_FE_C.BMP",0,0,0,1,0,0,0,0
"31M_FE_O.BMP",0,0,0,1,0,0,0,0
"31M_HA_C.BMP",0,0,0,0,1,0,0,0
"31M_HA_O.BMP",0,0,0,0,1,0,0,0
"31M_NE_C.BMP",0,0,0,0,0,1,0,0
"31M_NE_O.BMP",0,0,0,0,0,1,0,0
"31M_SA_C.BMP",0,0,0,0,0,0,1,0
"32M_AN_C.bmp",1,0,0,0,0,0,0,0
"32M_AN_O.BMP",1,0,0,0,0,0,0,0
"32M_CA_C.BMP",0,1,0,0,0,0,0,0
"32M_CA_O.BMP",0,1,0,0,0,0,0,0
"32M_DI_C.BMP",0,0,1,0,0,0,0,0
"32M_DI_O.BMP",0,0,1,0,0,0,0,0
"32M_DI_O.BMP",0,0,1,0,0,0,0,0
"32M_FE_C.BMP",0,0,0,1,0,0,0,0
"32M_FE_O.BMP",0,0,0,1,0,0,0,0
"32M_HA_C.BMP",0,0,0,0,1,0,0,0
"32M_HA_O.BMP",0,0,0,0,1,0,0,0
"32M_NE_C.BMP",0,0,0,0,0,1,0,0
"32M_NE_O.BMP",0,0,0,0,0,1,0,0
"32M_SA_C.BMP",0,0,0,0,0,0,1,0
"32M_SA_O.BMP",0,0,0,0,0,0,1,0
"33M_AN_C.bmp",1,0,0,0,0,0,0,0
"33M_AN_O.BMP",1,0,0,0,0,0,0,0
"33M_CA_C.BMP",0,1,0,0,0,0,0,0
"33M_CA_O.BMP",0,1,0,0,0,0,0,0
"33M_DI_C.BMP",0,0,1,0,0,0,0,0
"33M_FE_C.BMP",0,0,0,1,0,0,0,0
"33M_FE_O.BMP",0,0,0,1,0,0,0,0
"33M_HA_C.BMP",0,0,0,0,1,0,0,0
"33M_HA_O.BMP",0,0,0,0,1,0,0,0
"33M_NE_C.BMP",0,0,0,0,0,1,0,0
"33M_NE_O.BMP",0,0,0,0,0,1,0,0
"33M_SA_C.BMP",0,0,0,0,0,0,1,0
"33M_SA_O.BMP",0,0,0,0,0,0,1,0
"34M_AN_C.bmp",1,0,0,0,0,0,0,0
"34M_AN_O.BMP",1,0,0,0,0,0,0,0
"34M_CA_C.BMP",0,1,0,0,0,0,0,0
"34M_DI_C.BMP",0,0,1,0,0,0,0,0
"34M_FE_C.BMP",0,0,0,1,0,0,0,0
"34M_FE_O.BMP",0,0,0,1,0,0,0,0
"34M_HA_C.BMP",0,0,0,0,1,0,0,0
"34M_HA_O.BMP",0,0,0,0,1,0,0,0
"34M_NE_C.BMP",0,0,0,0,0,1,0,0
"34M_NE_O.BMP",0,0,0,0,0,1,0,0
"34M_SA_C.BMP",0,0,0,0,0,0,1,0
"34M_SA_O.BMP",0,0,0,0,0,0,1,0
"35M_AN_C.bmp",1,0,0,0,0,0,0,0
"35M_AN_O.BMP",1,0,0,0,0,0,0,0
"35M_CA_C.BMP",0,1,0,0,0,0,0,0
"35M_FE_C.BMP",0,0,0,1,0,0,0,0
"35M_FE_O.BMP",0,0,0,1,0,0,0,0
"35M_HA_C.BMP",0,0,0,0,1,0,0,0
"35M_HA_O.BMP",0,0,0,0,1,0,0,0
"35M_NE_C.BMP",0,0,0,0,0,1,0,0
"35M_NE_O.BMP",0,0,0,0,0,1,0,0
"35M_SA_O.BMP",0,0,0,0,0,0,1,0
"36M_AN_C.bmp",1,0,0,0,0,0,0,0
"36M_AN_O.BMP",1,0,0,0,0,0,0,0
"36M_CA_C.BMP",0,1,0,0,0,0,0,0
"36M_DI_C.BMP",0,0,1,0,0,0,0,0
"36M_DI_O.BMP",0,0,1,0,0,0,0,0
"36M_FE_C.BMP",0,0,0,1,0,0,0,0
"36M_FE_O.BMP",0,0,0,1,0,0,0,0
"36M_HA_C.BMP",0,0,0,0,1,0,0,0
"36M_HA_O.BMP",0,0,0,0,1,0,0,0
"36M_HA_O.BMP",0,0,0,0,1,0,0,0
"36M_NE_C.BMP",0,0,0,0,0,1,0,0
"36M_NE_O.BMP",0,0,0,0,0,1,0,0
"36M_SA_C.BMP",0,0,0,0,0,0,1,0
"36M_SA_O.BMP",0,0,0,0,0,0,1,0
"person02_scram.bmp",0,0,0,0,0,0,0,1
"person02_scram.bmp",0,0,0,0,0,0,0,1
"person02_scram.bmp",0,0,0,0,0,0,0,1
"person05_scram.bmp",0,0,0,0,0,0,0,1
"person05_scram.bmp",0,0,0,0,0,0,0,1
"person05_scram.bmp",0,0,0,0,0,0,0,1
"person08_scram.bmp",0,0,0,0,0,0,0,1
"person09_scram.bmp",0,0,0,0,0,0,0,1
"person14_scram.bmp",0,0,0,0,0,0,0,1
"person14_scram.bmp",0,0,0,0,0,0,0,1
"person14_scram.bmp",0,0,0,0,0,0,0,1
"person14_scram.bmp",0,0,0,0,0,0,0,1
"person15_scram.bmp",0,0,0,0,0,0,0,1
"person17_scram.bmp",0,0,0,0,0,0,0,1
"person18_scram.bmp",0,0,0,0,0,0,0,1
"person18_scram.bmp",0,0,0,0,0,0,0,1
"person20_scram.bmp",0,0,0,0,0,0,0,1
"person20_scram.bmp",0,0,0,0,0,0,0,1
"person21_scram.bmp",0,0,0,0,0,0,0,1
"person22_scram.bmp",0,0,0,0,0,0,0,1
"person23_scram.bmp",0,0,0,0,0,0,0,1
"person23_scram.bmp",0,0,0,0,0,0,0,1
"person24_scram.bmp",0,0,0,0,0,0,0,1
"person24_scram.bmp",0,0,0,0,0,0,0,1
"person24_scram.bmp",0,0,0,0,0,0,0,1
"person26_scram.bmp",0,0,0,0,0,0,0,1
"person26_scram.bmp",0,0,0,0,0,0,0,1
"person29_scram.bmp",0,0,0,0,0,0,0,1
"person29_scram.bmp",0,0,0,0,0,0,0,1
"person31_scram.bmp",0,0,0,0,0,0,0,1
"person32_scram.bmp",0,0,0,0,0,0,0,1
"person34_scram.bmp",0,0,0,0,0,0,0,1
"person35_scram.bmp",0,0,0,0,0,0,0,1
"person35_scram.bmp",0,0,0,0,0,0,0,1
"person35_scram.bmp",0,0,0,0,0,0,0,1
"person36_scram.bmp",0,0,0,0,0,0,0,1
"person37_scram.bmp",0,0,0,0,0,0,0,1
"person37_scram.bmp",0,0,0,0,0,0,0,1
"person38_scram.bmp",0,0,0,0,0,0,0,1
"person38_scram.bmp",0,0,0,0,0,0,0,1
"person38_scram.bmp",0,0,0,0,0,0,0,1
"person38_scram.bmp",0,0,0,0,0,0,0,1
"person39_scram.bmp",0,0,0,0,0,0,0,1
"person40_scram.bmp",0,0,0,0,0,0,0,1
"person41_scram.bmp",0,0,0,0,0,0,0,1
"person41_scram.bmp",0,0,0,0,0,0,0,1
"person41_scram.bmp",0,0,0,0,0,0,0,1
"person43_scram.bmp",0,0,0,0,0,0,0,1
